EXPERIMENT_ID,API_TYPE,QUERY_TYPE,REPOSITORY,EXECUTION_TIME_MS,RESPONSE_SIZE_BYTES,TIMESTAMP
61,REST,Complex,freeCodeCamp/freeCodeCamp,1349.7309169999935,743218,2024-11-14T17:45:51.952Z
61,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,533.5558750000055,20522,2024-11-14T17:45:52.486Z
62,REST,Complex,freeCodeCamp/freeCodeCamp,794.3024589999986,743218,2024-11-14T17:45:54.285Z
62,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,583.155666000006,20522,2024-11-14T17:45:54.868Z
63,REST,Complex,freeCodeCamp/freeCodeCamp,626.9262909999961,743218,2024-11-14T17:45:56.501Z
63,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,502.0662089999969,20522,2024-11-14T17:45:57.003Z
64,REST,Complex,freeCodeCamp/freeCodeCamp,692.4066670000029,743218,2024-11-14T17:45:58.699Z
64,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,557.6262500000012,20522,2024-11-14T17:45:59.257Z
65,REST,Complex,freeCodeCamp/freeCodeCamp,626.3597500000033,743218,2024-11-14T17:46:00.888Z
65,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,615.2933330000087,20522,2024-11-14T17:46:01.504Z
66,REST,Complex,freeCodeCamp/freeCodeCamp,608.9722500000062,743218,2024-11-14T17:46:03.118Z
66,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,534.25179200001,20522,2024-11-14T17:46:03.653Z
67,REST,Complex,freeCodeCamp/freeCodeCamp,754.9794589999947,743218,2024-11-14T17:46:05.412Z
67,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,638.7462499999965,20522,2024-11-14T17:46:06.051Z
68,REST,Complex,freeCodeCamp/freeCodeCamp,714.4799580000108,743218,2024-11-14T17:46:07.770Z
68,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,596.9581250000047,20522,2024-11-14T17:46:08.367Z
69,REST,Complex,freeCodeCamp/freeCodeCamp,706.1214999999938,743218,2024-11-14T17:46:10.077Z
69,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,532.623958000011,20522,2024-11-14T17:46:10.610Z
70,REST,Complex,freeCodeCamp/freeCodeCamp,649.4301669999986,743218,2024-11-14T17:46:12.263Z
70,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,510.9630840000027,20522,2024-11-14T17:46:12.774Z
71,REST,Complex,freeCodeCamp/freeCodeCamp,902.5599999999977,743218,2024-11-14T17:46:14.681Z
71,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,495.96404099999927,20522,2024-11-14T17:46:15.177Z
72,REST,Complex,freeCodeCamp/freeCodeCamp,570.1221669999941,743218,2024-11-14T17:46:16.750Z
72,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,504.5602089999884,20522,2024-11-14T17:46:17.255Z
73,REST,Complex,freeCodeCamp/freeCodeCamp,568.0273330000055,743218,2024-11-14T17:46:18.828Z
73,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,702.7165840000089,20522,2024-11-14T17:46:19.531Z
74,REST,Complex,freeCodeCamp/freeCodeCamp,645.9078750000044,743218,2024-11-14T17:46:21.182Z
74,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,471.19495899998583,20522,2024-11-14T17:46:21.653Z
75,REST,Complex,freeCodeCamp/freeCodeCamp,646.6681670000253,743218,2024-11-14T17:46:23.306Z
75,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,527.669166000007,20522,2024-11-14T17:46:23.834Z
76,REST,Complex,freeCodeCamp/freeCodeCamp,599.5838750000112,743218,2024-11-14T17:46:25.437Z
76,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,813.7079170000216,20522,2024-11-14T17:46:26.251Z
77,REST,Complex,freeCodeCamp/freeCodeCamp,607.2901249999995,743218,2024-11-14T17:46:27.862Z
77,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,466.042999999976,20522,2024-11-14T17:46:28.329Z
78,REST,Complex,freeCodeCamp/freeCodeCamp,616.124959000008,743218,2024-11-14T17:46:29.949Z
78,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,687.4720830000006,20522,2024-11-14T17:46:30.636Z
79,REST,Complex,freeCodeCamp/freeCodeCamp,690.833249999996,743218,2024-11-14T17:46:32.331Z
79,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,507.004958000005,20522,2024-11-14T17:46:32.838Z
80,REST,Complex,freeCodeCamp/freeCodeCamp,527.1688330000034,743218,2024-11-14T17:46:34.367Z
80,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,525.8413329999894,20522,2024-11-14T17:46:34.893Z
81,REST,Complex,freeCodeCamp/freeCodeCamp,515.2404590000224,743218,2024-11-14T17:46:36.413Z
81,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,725.8358749999898,20522,2024-11-14T17:46:37.139Z
82,REST,Complex,freeCodeCamp/freeCodeCamp,637.1262080000015,743218,2024-11-14T17:46:38.780Z
82,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,518.2718750000058,20522,2024-11-14T17:46:39.299Z
83,REST,Complex,freeCodeCamp/freeCodeCamp,661.0580840000184,743218,2024-11-14T17:46:40.965Z
83,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,700.4117090000072,20522,2024-11-14T17:46:41.665Z
84,REST,Complex,freeCodeCamp/freeCodeCamp,745.1680829999968,743218,2024-11-14T17:46:43.414Z
84,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,579.3665829999954,20522,2024-11-14T17:46:43.994Z
85,REST,Complex,freeCodeCamp/freeCodeCamp,540.9197910000221,743218,2024-11-14T17:46:45.539Z
85,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,617.2971660000039,20522,2024-11-14T17:46:46.157Z
86,REST,Complex,freeCodeCamp/freeCodeCamp,621.2831250000163,743218,2024-11-14T17:46:47.782Z
86,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,627.3712499999965,20522,2024-11-14T17:46:48.410Z
87,REST,Complex,freeCodeCamp/freeCodeCamp,573.6222919999855,743218,2024-11-14T17:46:49.987Z
87,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,573.8577090000035,20522,2024-11-14T17:46:50.561Z
88,REST,Complex,freeCodeCamp/freeCodeCamp,637.2377919999999,743218,2024-11-14T17:46:52.203Z
88,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,610.2001670000027,20522,2024-11-14T17:46:52.813Z
89,REST,Complex,freeCodeCamp/freeCodeCamp,738.6232909999962,743218,2024-11-14T17:46:54.555Z
89,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,598.5505420000118,20522,2024-11-14T17:46:55.153Z
90,REST,Complex,freeCodeCamp/freeCodeCamp,587.1567500000237,744418,2024-11-14T17:46:56.744Z
90,GRAPHQL,Complex,freeCodeCamp/freeCodeCamp,469.8393329999817,20522,2024-11-14T17:46:57.214Z
91,REST,Basic,EbookFoundation/free-programming-books,332.9589580000029,7460,2024-11-14T17:46:58.549Z
91,GRAPHQL,Basic,EbookFoundation/free-programming-books,304.7674169999955,149,2024-11-14T17:46:58.854Z
92,REST,Basic,EbookFoundation/free-programming-books,431.70220900001004,7460,2024-11-14T17:47:00.288Z
92,GRAPHQL,Basic,EbookFoundation/free-programming-books,410.56120799999917,149,2024-11-14T17:47:00.698Z
93,REST,Basic,EbookFoundation/free-programming-books,329.4206659999909,7460,2024-11-14T17:47:02.029Z
93,GRAPHQL,Basic,EbookFoundation/free-programming-books,306.86691599999904,149,2024-11-14T17:47:02.336Z
94,REST,Basic,EbookFoundation/free-programming-books,327.2623329999915,7460,2024-11-14T17:47:03.665Z
94,GRAPHQL,Basic,EbookFoundation/free-programming-books,307.11824999999953,149,2024-11-14T17:47:03.972Z
95,REST,Basic,EbookFoundation/free-programming-books,329.87987500001327,7460,2024-11-14T17:47:05.303Z
95,GRAPHQL,Basic,EbookFoundation/free-programming-books,306.33974999998463,149,2024-11-14T17:47:05.610Z
96,REST,Basic,EbookFoundation/free-programming-books,431.948166999995,7460,2024-11-14T17:47:07.044Z
96,GRAPHQL,Basic,EbookFoundation/free-programming-books,265.7340410000179,149,2024-11-14T17:47:07.310Z
97,REST,Basic,EbookFoundation/free-programming-books,374.7186249999795,7460,2024-11-14T17:47:08.686Z
97,GRAPHQL,Basic,EbookFoundation/free-programming-books,408.4071249999979,149,2024-11-14T17:47:09.094Z
98,REST,Basic,EbookFoundation/free-programming-books,328.1994169999962,7460,2024-11-14T17:47:10.424Z
98,GRAPHQL,Basic,EbookFoundation/free-programming-books,253.208083000005,149,2024-11-14T17:47:10.677Z
99,REST,Basic,EbookFoundation/free-programming-books,383.54354199999943,7460,2024-11-14T17:47:12.062Z
99,GRAPHQL,Basic,EbookFoundation/free-programming-books,305.3118339999928,149,2024-11-14T17:47:12.367Z
100,REST,Basic,EbookFoundation/free-programming-books,432.0859169999894,7460,2024-11-14T17:47:13.801Z
100,GRAPHQL,Basic,EbookFoundation/free-programming-books,277.14674999998533,149,2024-11-14T17:47:14.078Z
101,REST,Basic,EbookFoundation/free-programming-books,345.3926250000077,7460,2024-11-14T17:47:15.425Z
101,GRAPHQL,Basic,EbookFoundation/free-programming-books,323.4304159999883,149,2024-11-14T17:47:15.748Z
102,REST,Basic,EbookFoundation/free-programming-books,295.32720900001004,7460,2024-11-14T17:47:17.045Z
102,GRAPHQL,Basic,EbookFoundation/free-programming-books,278.8136249999807,149,2024-11-14T17:47:17.324Z
103,REST,Basic,EbookFoundation/free-programming-books,341.8648749999993,7460,2024-11-14T17:47:18.668Z
103,GRAPHQL,Basic,EbookFoundation/free-programming-books,358.20833300001686,149,2024-11-14T17:47:19.026Z
104,REST,Basic,EbookFoundation/free-programming-books,329.2089580000029,7460,2024-11-14T17:47:20.357Z
104,GRAPHQL,Basic,EbookFoundation/free-programming-books,307.27987500000745,149,2024-11-14T17:47:20.664Z
105,REST,Basic,EbookFoundation/free-programming-books,330.0361660000053,7460,2024-11-14T17:47:21.996Z
105,GRAPHQL,Basic,EbookFoundation/free-programming-books,310.328582999995,149,2024-11-14T17:47:22.306Z
106,REST,Basic,EbookFoundation/free-programming-books,376.24795900000026,7460,2024-11-14T17:47:23.683Z
106,GRAPHQL,Basic,EbookFoundation/free-programming-books,360.20866699999897,149,2024-11-14T17:47:24.043Z
107,REST,Basic,EbookFoundation/free-programming-books,433.68879200000083,7460,2024-11-14T17:47:25.479Z
107,GRAPHQL,Basic,EbookFoundation/free-programming-books,408.4453329999815,149,2024-11-14T17:47:25.887Z
108,REST,Basic,EbookFoundation/free-programming-books,328.0069159999839,7460,2024-11-14T17:47:27.217Z
108,GRAPHQL,Basic,EbookFoundation/free-programming-books,413.0987920000043,149,2024-11-14T17:47:27.630Z
109,REST,Basic,EbookFoundation/free-programming-books,320.28779199998826,7460,2024-11-14T17:47:28.952Z
109,GRAPHQL,Basic,EbookFoundation/free-programming-books,414.34500000000116,149,2024-11-14T17:47:29.367Z
110,REST,Basic,EbookFoundation/free-programming-books,434.2507500000065,7460,2024-11-14T17:47:30.802Z
110,GRAPHQL,Basic,EbookFoundation/free-programming-books,305.67491699999664,149,2024-11-14T17:47:31.108Z
111,REST,Basic,EbookFoundation/free-programming-books,331.16795800000546,7460,2024-11-14T17:47:32.440Z
111,GRAPHQL,Basic,EbookFoundation/free-programming-books,407.2098330000008,149,2024-11-14T17:47:32.848Z
112,REST,Basic,EbookFoundation/free-programming-books,339.4714169999934,7460,2024-11-14T17:47:34.189Z
112,GRAPHQL,Basic,EbookFoundation/free-programming-books,296.076791999978,149,2024-11-14T17:47:34.485Z
113,REST,Basic,EbookFoundation/free-programming-books,436.02987500000745,7460,2024-11-14T17:47:35.922Z
113,GRAPHQL,Basic,EbookFoundation/free-programming-books,408.70220800000243,149,2024-11-14T17:47:36.331Z
114,REST,Basic,EbookFoundation/free-programming-books,329.21549999999115,7460,2024-11-14T17:47:37.662Z
114,GRAPHQL,Basic,EbookFoundation/free-programming-books,306.51591700001154,149,2024-11-14T17:47:37.968Z
115,REST,Basic,EbookFoundation/free-programming-books,431.87579099999857,7460,2024-11-14T17:47:39.402Z
115,GRAPHQL,Basic,EbookFoundation/free-programming-books,411.11337500001537,149,2024-11-14T17:47:39.813Z
116,REST,Basic,EbookFoundation/free-programming-books,328.84775000001537,7460,2024-11-14T17:47:41.143Z
116,GRAPHQL,Basic,EbookFoundation/free-programming-books,306.85679200000595,149,2024-11-14T17:47:41.450Z
117,REST,Basic,EbookFoundation/free-programming-books,323.65466699999524,7460,2024-11-14T17:47:42.775Z
117,GRAPHQL,Basic,EbookFoundation/free-programming-books,314.368083999987,149,2024-11-14T17:47:43.089Z
118,REST,Basic,EbookFoundation/free-programming-books,431.35349999999744,7460,2024-11-14T17:47:44.521Z
118,GRAPHQL,Basic,EbookFoundation/free-programming-books,307.7516659999965,149,2024-11-14T17:47:44.829Z
119,REST,Basic,EbookFoundation/free-programming-books,317.77170800001477,7460,2024-11-14T17:47:46.148Z
119,GRAPHQL,Basic,EbookFoundation/free-programming-books,295.700708999997,149,2024-11-14T17:47:46.444Z
120,REST,Basic,EbookFoundation/free-programming-books,339.7839169999934,7460,2024-11-14T17:47:47.785Z
120,GRAPHQL,Basic,EbookFoundation/free-programming-books,323.10450000001583,149,2024-11-14T17:47:48.108Z
121,REST,Medium,EbookFoundation/free-programming-books,676.5656670000171,130873,2024-11-14T17:47:49.786Z
121,GRAPHQL,Medium,EbookFoundation/free-programming-books,307.25266600001487,4087,2024-11-14T17:47:50.093Z
